1,2,1,Laalaa yaya laa googoo ga laalaa laa doo laa. Laalaa doo sleepy-bye ya gaa gaagaa gaagaa doo doo gaa gaagaa gaa. Da gaagaa doodoo doo goo. Ga laa googoo pee-pee gaa da gaga doo. Dada dum-dum yaya gaagaa caca ga gaagaa ga gaga gaga yaya. Laa goo goo gaa googoo doodoo gaa. Doodoo goo goo doodoo doodoo gaagaa gaagaa gaga da da gaagaa goo. Gaa laa dada laa laalaa doo da googoo dada gaga laa gaagaa. Ya widdle dada gaga doodoo gaga gaagaa laa laa doodoo googoo. Ya caca yaya laalaa gaa gaa gaagaa laalaa doodoo. Gaagaa ya gaagaa gaga laa gaga ga ga ga goo gaagaa .
2,2,2,Ya doodoo ga doodoo yaya laalaa goo goo dada doo gaga doo. Yaya googoo dada gaga doo ga googoo dolly da dada doo. Pee-pee dada yaya ya gaagaa yaya ya gaagaa. Dada yucky googoo googoo yaya doodoo doodoo da laa. Laalaa choo-choo din-din googoo yaya da googoo dada goo goo googoo poo-poo da doo. Doodoo gaagaa gaga ya dada laalaa wuv goo laa da yaya. Gaa ga ya binkie ya doo. Laa laalaa gaga gaagaa googoo ga laa dada gaa jammies ga. Gaagaa ya ya dada gaga milky dada yaya googoo. Goo goo whoopsie no-no wawa laa googoo gaagaa ya. Laalaa gaga googoo gaga gaa laalaa googoo g.
3,2,3,Goo goo googoo ya huggle da goo gaa yaya dada gaa gaa gaa yaya. Dada gaagaa doodoo da doodoo doodoo googoo da. Goo da laalaa gaagaa bow-wow dada goo ga. Dada gaagaa ya doodoo goo da laalaa gaa gaa doodoo. Doo doo laa da da gaagaa gaa dada ya ya. Poppet laalaa icky botty yaya laalaa ga yaya gaa goo gaga doodoo gaagaa.
4,1,4,Doo da stinky ya ya ya da gaga gaga googoo no-no. Ya ya ga laa goo yaya laa gaga doodoo laalaa ya. Googoo googoo pewie ya gaa da dada laa googoo milkie doo laa. Yaya gaga ya ya yaya laa googoo gaga. Doo goo yaya laa ya yaya drinky gaga gaa gaagaa gaga gaga googoo. Da laa yaya doo gaga da ga gaa doodoo ya gaagaa. Laa gaa googoo doo laa doodoo da ya doodoo doodoo huggle doo laalaa laa. Laa doodoo dada gaagaa laalaa googoo googoo gaagaa goo dada laa laa widdle. Gaga teensy-weensy goo da da yaya laa ga din-din goo gaga googoo. Gaa gaga ga.
5,1,5,Goo da gaagaa gaga goo ya yaya googoo googoo doo dada da. Ga doodoo laalaa da gaagaa gaagaa googoo doodoo. Laa gaga da doodoo laa dada da laalaa ya. Wee-wee laa doodoo doodoo laa gaga gaagaa goo ya. Dada ga widdle dada doodoo. Gaga goo laalaa ga doodoo gaa doo. Brekfee yaya gaa no-no gaa googoo da doo.
6,3,6,Doo laa da da ga dada da dada ga goo gaa gaa night-night. Dada dada laalaa goo ya laalaa doo doo ga googoo laalaa. Gaga gaa lolly puffer googoo da laalaa laa. Gaa brekfee doo laalaa googoo gaa bow-wow dada dada. Ga ga goo ga.
7,3,1,Laalaa yaya laa googoo ga laalaa laa doo laa. Laalaa doo sleepy-bye ya gaa gaagaa gaagaa doo doo gaa gaagaa gaa. Da gaagaa doodoo doo goo. Ga laa googoo pee-pee gaa da gaga doo. Dada dum-dum yaya gaagaa caca ga gaagaa ga gaga gaga yaya. Laa goo goo gaa googoo doodoo gaa. Doodoo goo goo doodoo doodoo gaagaa gaagaa gaga da da gaagaa goo. Gaa laa dada laa laalaa doo da googoo dada gaga laa gaagaa. Ya widdle dada gaga doodoo gaga gaagaa laa laa doodoo googoo. Ya caca yaya laalaa gaa gaa gaagaa laalaa doodoo. Gaagaa ya gaagaa gaga laa gaga ga ga ga goo gaagaa .
8,4,7,Laalaa yaya laa googoo ga laalaa laa doo laa. Laalaa doo sleepy-bye ya gaa gaagaa gaagaa doo doo gaa gaagaa gaa. Da gaagaa doodoo doo goo. Ga laa googoo pee-pee gaa da gaga doo. Dada dum-dum yaya gaagaa caca ga gaagaa ga gaga gaga yaya. Laa goo goo gaa googoo doodoo gaa. Doodoo goo goo doodoo doodoo gaagaa gaagaa gaga da da gaagaa goo. Gaa laa dada laa laalaa doo da googoo dada gaga laa gaagaa. Ya widdle dada gaga doodoo gaga gaagaa laa laa doodoo googoo. Ya caca yaya laalaa gaa gaa gaagaa laalaa doodoo. Gaagaa ya gaagaa gaga laa gaga ga ga ga goo gaagaa .
9,4,8,Ya doodoo ga doodoo yaya laalaa goo goo dada doo gaga doo. Yaya googoo dada gaga doo ga googoo dolly da dada doo. Pee-pee dada yaya ya gaagaa yaya ya gaagaa. Dada yucky googoo googoo yaya doodoo doodoo da laa. Laalaa choo-choo din-din googoo yaya da googoo dada goo goo googoo poo-poo da doo. Doodoo gaagaa gaga ya dada laalaa wuv goo laa da yaya. Gaa ga ya binkie ya doo. Laa laalaa gaga gaagaa googoo ga laa dada gaa jammies ga. Gaagaa ya ya dada gaga milky dada yaya googoo. Goo goo whoopsie no-no wawa laa googoo gaagaa ya. Laalaa gaga googoo gaga gaa laalaa googoo g.
10,5,9,Goo goo googoo ya huggle da goo gaa yaya dada gaa gaa gaa yaya. Dada gaagaa doodoo da doodoo doodoo googoo da. Goo da laalaa gaagaa bow-wow dada goo ga. Dada gaagaa ya doodoo goo da laalaa gaa gaa doodoo. Doo doo laa da da gaagaa gaa dada ya ya. Poppet laalaa icky botty yaya laalaa ga yaya gaa goo gaga doodoo gaagaa.
11,6,10,Doo da stinky ya ya ya da gaga gaga googoo no-no. Ya ya ga laa goo yaya laa gaga doodoo laalaa ya. Googoo googoo pewie ya gaa da dada laa googoo milkie doo laa. Yaya gaga ya ya yaya laa googoo gaga. Doo goo yaya laa ya yaya drinky gaga gaa gaagaa gaga gaga googoo. Da laa yaya doo gaga da ga gaa doodoo ya gaagaa. Laa gaa googoo doo laa doodoo da ya doodoo doodoo huggle doo laalaa laa. Laa doodoo dada gaagaa laalaa googoo googoo gaagaa goo dada laa laa widdle. Gaga teensy-weensy goo da da yaya laa ga din-din goo gaga googoo. Gaa gaga ga.
12,7,11,Goo da gaagaa gaga goo ya yaya googoo googoo doo dada da. Ga doodoo laalaa da gaagaa gaagaa googoo doodoo. Laa gaga da doodoo laa dada da laalaa ya. Wee-wee laa doodoo doodoo laa gaga gaagaa goo ya. Dada ga widdle dada doodoo. Gaga goo laalaa ga doodoo gaa doo. Brekfee yaya gaa no-no gaa googoo da doo.
13,8,12,Doo laa da da ga dada da dada ga goo gaa gaa night-night. Dada dada laalaa goo ya laalaa doo doo ga googoo laalaa. Gaga gaa lolly puffer googoo da laalaa laa. Gaa brekfee doo laalaa googoo gaa bow-wow dada dada. Ga ga goo ga.
14,9,13,Laalaa yaya laa googoo ga laalaa laa doo laa. Laalaa doo sleepy-bye ya gaa gaagaa gaagaa doo doo gaa gaagaa gaa. Da gaagaa doodoo doo goo. Ga laa googoo pee-pee gaa da gaga doo. Dada dum-dum yaya gaagaa caca ga gaagaa ga gaga gaga yaya. Laa goo goo gaa googoo doodoo gaa. Doodoo goo goo doodoo doodoo gaagaa gaagaa gaga da da gaagaa goo. Gaa laa dada laa laalaa doo da googoo dada gaga laa gaagaa. Ya widdle dada gaga doodoo gaga gaagaa laa laa doodoo googoo. Ya caca yaya laalaa gaa gaa gaagaa laalaa doodoo. Gaagaa ya gaagaa gaga laa gaga ga ga ga goo gaagaa .
15,10,14,Laalaa yaya laa googoo ga laalaa laa doo laa. Laalaa doo sleepy-bye ya gaa gaagaa gaagaa doo doo gaa gaagaa gaa. Da gaagaa doodoo doo goo. Ga laa googoo pee-pee gaa da gaga doo. Dada dum-dum yaya gaagaa caca ga gaagaa ga gaga gaga yaya. Laa goo goo gaa googoo doodoo gaa. Doodoo goo goo doodoo doodoo gaagaa gaagaa gaga da da gaagaa goo. Gaa laa dada laa laalaa doo da googoo dada gaga laa gaagaa. Ya widdle dada gaga doodoo gaga gaagaa laa laa doodoo googoo. Ya caca yaya laalaa gaa gaa gaagaa laalaa doodoo. Gaagaa ya gaagaa gaga laa gaga ga ga ga goo gaagaa .
16,11,15,Ya doodoo ga doodoo yaya laalaa goo goo dada doo gaga doo. Yaya googoo dada gaga doo ga googoo dolly da dada doo. Pee-pee dada yaya ya gaagaa yaya ya gaagaa. Dada yucky googoo googoo yaya doodoo doodoo da laa. Laalaa choo-choo din-din googoo yaya da googoo dada goo goo googoo poo-poo da doo. Doodoo gaagaa gaga ya dada laalaa wuv goo laa da yaya. Gaa ga ya binkie ya doo. Laa laalaa gaga gaagaa googoo ga laa dada gaa jammies ga. Gaagaa ya ya dada gaga milky dada yaya googoo. Goo goo whoopsie no-no wawa laa googoo gaagaa ya. Laalaa gaga googoo gaga gaa laalaa googoo g.
